id;imie;nazwisko;dataUrodzenia;zawod
112;Odetta;PAPIERZEWSKI;01.04.1996;aktor
113;Hanna;MAJEWSKA;01.12.1987;aktor
114;Jagna;ADAMCZYK;01.08.1984;aktor
115;Jan;WÓJCIK;01.02.1987;aktor
116;Stanis³aw;JAKUBOWSKA;01.12.1972;aktor
117;Zuzanna;PAPIERZEWSKI;01.11.1985;aktor
118;Magdalena;BORKOWSKA;01.05.1983;aktor
119;Adrianna;MACIEJEWSKA;01.04.1976;aktor
120;Hanna;LEWANDOWSKA;01.04.1981;aktor
121;Jacek;MAKOWSKA;01.03.1984;aktor
122;Teresa;DUDEK;01.04.1976;aktor
123;Jacek;SOKO£OWSKA;01.04.1986;aktor
124;Marika;KUCHARSKA;01.05.1993;aktor
125;Hanna;SZCZEPAÑSKA;01.02.1987;aktor
126;Marcin;ZAWADZKA;01.06.1985;aktor
127;Julian;KOWALSKA;01.11.1980;aktor
128;Natan;JAKUBOWSKA;01.05.1988;aktor
129;¯aneta;MICHALSKA;01.03.1994;aktor
130;Antoni;KOWALCZYK;01.02.1972;aktor
131;Jozue;OLSZEWSKA;01.08.1974;aktor
132;Julia;JAWORSKA;01.03.1984;aktor
133;Aleksander;MALINOWSKA;01.06.1985;aktor
134;Marika;BORKOWSKA;01.11.1970;aktor
135;Bernadetta;DUDEK;01.07.1977;aktor
136;Zofia;ADAMCZYK;01.02.1972;aktor
137;Julian;M¥CZKA;01.04.1986;aktor
138;Aneta;SAWICKA;01.10.1988;aktor
139;Marcin;SZEKPSIR;01.04.1976;aktor
140;Gracjan;JANKOWSKA;01.02.1987;aktor
141;Julian;JAKUBOWSKA;01.06.1995;aktor
142;Dorota;WOJCIECHOWSKA;01.01.1990;aktor
143;Antonina;RUTKOWSKA;01.08.1984;aktor
144;Szymon;ZALEWSKA;01.12.1982;aktor
145;Albin;SZEKPSIR;01.09.1976;aktor
146;Wincenty;KOWALCZYK;01.05.1988;aktor
147;Arkadiusz;OLSZEWSKA;01.12.1997;aktor
148;Lilianna;PAWLAK;01.03.1984;aktor
149;Marzena;M¥CZKA;01.12.1982;aktor
150;Albin;OLSZEWSKA;01.01.1995;aktor
151;Pawe³;PACZOS;01.11.1990;aktor
152;Joanna;MACIEJEWSKA;01.09.1981;aktor
153;Hanna;BA£KA;01.12.1972;aktor
154;Aneta;W£ODARCZYK;01.02.1997;aktor
155;Krystyna;SZEKPSIR;01.02.1982;aktor
156;Natan;PAPIERZEWSKI;01.09.1971;aktor
157;Adrianna;WRÓBLEWSKA;01.06.1990;aktor
158;Wojciech;WALCZAK;01.03.1979;aktor
159;Dominika;SOKO£OWSKA;01.01.1970;aktor
160;Julia;BARAN;01.07.1987;aktor
161;Julian;ADAMCZYK;01.03.1994;aktor
162;Mirella;CHMIELEWSKA;01.09.1976;aktor
163;Lilianna;SADOWSKA;01.05.1998;aktor
164;Petronella;NOWAK;01.12.1992;aktor
165;Marcjanna;KWIATKOWSKA;01.06.1970;aktor
166;Marzena;B¥K;01.06.1995;aktor
167;Pamela;WITKOWSKA;01.07.1977;aktor
168;Jagoda;ZAWADZKA;01.08.1979;aktor
169;Bo¿ena;MICHALAK;01.11.1970;aktor
170;Pawe³;WIECZOREK;01.03.1974;aktor
171;Arkadiusz;MAKOWSKA;01.02.1997;aktor
172;Jozue;PIETRZAK;01.12.1992;aktor
173;Franciszek;LIS;01.08.1979;aktor
174;Szymon;NOWAK;01.10.1973;aktor
175;Wojciech;NOWAKOWSKA;01.08.1994;aktor
176;Marcjanna;WÓJCIK;01.07.1982;aktor
177;Lucyna;KOWALSKA;01.06.1970;aktor
178;Odetta;B¥K;01.07.1997;aktor
179;Teresa;WYSOCKA;01.08.1994;aktor
180;Agnieszka;JANKOWSKA;01.02.1982;aktor
181;Petronella;B¥K;01.08.1979;aktor
182;Zbigniew;PAWLAK;01.10.1983;aktor
183;Arkadiusz;RUTKOWSKA;01.09.1971;aktor
184;Franciszek;NOWICKA;01.09.1986;aktor
185;Irena;B¥K;01.01.1980;aktor
186;Arleta;MICHALAK;01.05.1998;aktor
187;Jozue;WITKOWSKA;01.01.1995;aktor
188;Natan;W£ODARCZYK;01.05.1993;aktor
189;Bogumi³a;LIS;01.10.1978;aktor
190;Leon;JAKUBOWSKA;01.11.1970;aktor
191;Dorota;KWIATKOWSKA;01.09.1996;aktor
192;Andrzej;BA£KA;01.06.1970;aktor
193;Irena;W£ODARCZYK;01.12.1977;aktor
194;Szymon;KOWALCZYK;01.07.1972;aktor
195;Szymon;SZCZEPAÑSKA;01.07.1987;aktor
196;Leon;LIS;01.03.1984;aktor
197;Joanna;SADOWSKA;01.08.1979;aktor
198;Antoni;NOWAKOWSKA;01.12.1977;aktor
199;Helena;JANKOWSKA;01.11.1995;aktor
200;Arkadiusz;BORKOWSKA;01.11.1995;aktor
201;Stanis³aw;KUBIAK;01.08.1989;aktor
202;Martyna;ZALEWSKA;01.04.1996;aktor
203;Pawe³;WRÓBLEWSKA;01.10.1978;aktor
204;Antonina;ZAWADZKA;01.11.1985;aktor
205;Jagoda;MAJEWSKA;01.04.1981;aktor
206;Dominika;MICHALSKA;01.08.1994;aktor
207;Wiliam;KORYTKOWSKI;01.01.1995;aktor
208;Krystyna;GRABOWSKA;01.08.1994;aktor
209;Teresa;BORKOWSKA;01.01.1990;aktor
210;Ariana;MICHALSKA;01.04.1971;aktor
211;Katarzyna;PIOTROWSKA;01.09.1991;aktor
212;Kamila;JANKOWSKA;01.02.1992;aktor
213;Krystyna;SZCZEPAÑSKA;01.08.1974;aktor
214;Jagna;M¥CZKA;01.09.1981;aktor
215;Natan;MICHALSKA;01.04.1981;aktor
216;Jagoda;WILK;01.09.1991;aktor
217;Marzena;SZEKPSIR;01.07.1997;aktor
218;Jan;SADOWSKA;01.07.1992;aktor
219;Bogumi³a;WALCZAK;01.12.1997;aktor
220;Maksymilian;SOKO£OWSKA;01.10.1993;aktor
221;Bogumi³a;MICHALSKA;01.01.1995;aktor
222;Jagna;JANKOWSKA;01.09.1971;aktor
223;Julia;JAKUBOWSKA;01.12.1997;aktor
224;Krzysztof;PAW£OWSKA;01.02.1982;aktor
225;Magdalena;SZCZEPAÑSKA;01.07.1972;aktor
226;Pamela;NOWAKOWSKA;01.04.1981;aktor
227;Aleksander;JANKOWSKA;01.06.1970;aktor
228;Jadwiga;BARAN;01.11.1990;aktor
229;Wiliam;KACZMAREK;01.12.1997;aktor
230;Szymon;M¥CZKA;01.01.1970;aktor
231;Jagna;SOKO£OWSKA;01.01.1985;aktor
232;Joanna;DUDEK;01.11.1980;aktor
233;Maciej;SZEKPSIR;01.05.1978;aktor
234;Dominika;DUDA;01.01.1985;aktor
235;Gracjan;NOWAK;01.01.1975;aktor
236;Maria;TOMASZEWSKA;01.01.1975;aktor
237;Arkadiusz;KORYTKOWSKI;01.06.1995;aktor
238;Wojciech;DUDA;01.03.1989;aktor
239;Julian;WITKOWSKA;01.12.1997;aktor
240;Maciej;JASIÑSKA;01.05.1993;aktor
241;Jagoda;BA£KA;01.01.1995;aktor
242;Anna;MARCINIAK;01.09.1986;aktor
243;Arleta;WALCZAK;01.12.1977;aktor
244;Mirella;M¥CZKA;01.12.1982;aktor
245;¯aneta;SZCZEPAÑSKA;01.04.1976;aktor
246;Krzysztof;NOWICKA;01.04.1991;aktor
247;Julian;JAKUBOWSKA;01.01.1980;aktor
248;Szymon;KUCHARSKA;01.07.1982;aktor
249;Arkadiusz;KALINOWSKA;01.10.1988;aktor
250;Maciej;NOWAK;01.05.1978;aktor
251;Pawe³;JASIÑSKA;01.01.1975;aktor
252;Agnieszka;WOJCIECHOWSKA;01.09.1971;aktor
253;Wioleta;PAWLUK;01.09.1981;aktor
254;Jan;DUDEK;01.08.1994;aktor
255;Marcin;NOWICKA;01.12.1992;aktor
256;¯aneta;PAWLUK;01.12.1977;aktor
257;Izabela;KORYTKOWSKI;01.11.1975;aktor
258;Szymon;KOWALSKA;01.07.1972;aktor
259;Jacek;KAMIÑSKA;01.12.1977;aktor
260;Krystyna;KUBIAK;01.11.1990;aktor
261;Jagna;MAZUR;01.04.1986;aktor
262;Martyna;NOWICKA;01.10.1983;aktor
263;Krzysztof;KAMIÑSKA;01.12.1997;aktor
264;Agnieszka;SZCZEPAÑSKA;01.03.1979;aktor
265;Marcin;PACZOS;01.04.1996;aktor
266;Wojciech;KORYTKOWSKI;01.06.1980;aktor
267;Stanis³aw;PAWLAK;01.03.1994;aktor
268;Adrianna;ZALEWSKA;01.03.1994;aktor
269;Józef;DUDA;01.09.1996;aktor
270;Szymon;KUCHARSKA;01.02.1992;aktor
271;Izabela;WRÓBLEWSKA;01.08.1994;aktor
272;Wioleta;RUTKOWSKA;01.12.1997;aktor
273;Magdalena;KAMIÑSKA;01.01.1985;aktor
274;Pamela;SIKORA;01.10.1973;aktor
275;Marcjanna;SOKO£OWSKA;01.09.1976;aktor
276;Marcin;PAWLUK;01.01.1980;aktor
277;Julia;JAKUBOWSKA;01.09.1981;aktor
278;Sylwia;PAWLUK;01.12.1972;aktor
279;Mirella;KWIATKOWSKA;01.08.1989;aktor
280;Wincenty;MAJEWSKA;01.04.1976;aktor
281;Katarzyna;KUCHARSKA;01.07.1982;aktor
282;Pawe³;ADAMCZYK;01.05.1988;aktor
283;Leon;SIKORA;01.11.1970;aktor
284;Jozue;MALINOWSKA;01.01.1980;aktor
285;Petronella;CHMIELEWSKA;01.04.1981;aktor
286;Martyna;PACZOS;01.07.1997;aktor
287;Wioleta;SAWICKA;01.02.1992;aktor
288;Anna;PACZOS;01.11.1995;aktor
289;Lucyna;KRAWCZYK;01.08.1989;aktor
290;Lilianna;WYSOCKA;01.09.1986;aktor
291;Pamela;TOMASZEWSKA;01.02.1977;aktor
292;Franciszek;MARCINIAK;01.10.1978;aktor
293;Julian;KOWALCZYK;01.05.1988;aktor
294;Marika;CZARNECKA;01.08.1984;aktor
295;Wincenty;ZALEWSKA;01.06.1985;aktor
296;Wiliam;PIETRZAK;01.01.1975;aktor
297;Agnieszka;KRAWCZYK;01.03.1994;aktor
298;Irena;PAWLUK;01.04.1981;aktor
299;Bernadetta;W£ODARCZYK;01.04.1996;aktor
300;Marzena;W£ODARCZYK;01.03.1984;aktor
301;Jan;RUTKOWSKA;01.06.1970;aktor
302;Antonina;SZEKPSIR;01.04.1971;aktor
303;Pamela;ADAMCZYK;01.11.1980;aktor
304;Antoni;WÓJCIK;01.06.1995;aktor
305;Arkadiusz;DUDEK;01.03.1974;aktor
306;Antoni;PAPIERZEWSKI;01.07.1972;aktor
307;Bogumi³a;DUDEK;01.08.1974;aktor
308;Zofia;MAJEWSKA;01.10.1983;aktor
309;Jozue;KAMIÑSKA;01.07.1982;aktor
310;Lilianna;WYSOCKA;01.04.1986;aktor
311;Katarzyna;KRAWCZYK;01.09.1971;aktor
312;Jozue;PAWLUK;01.11.1985;aktor
313;Wioleta;SIKORA;01.10.1973;aktor
314;S³awomir;KUCHARSKA;01.12.1997;aktor
315;Hanna;SOKO£OWSKA;01.07.1992;aktor
316;Katarzyna;JANKOWSKA;01.09.1996;aktor
317;Jagna;OSTROWSKA;01.01.1970;aktor
318;Józef;NOWAKOWSKA;01.01.1990;aktor
319;Odetta;WYSOCKA;01.11.1970;aktor
320;Wincenty;BARAN;01.11.1985;aktor
321;Teresa;TOMASZEWSKA;01.02.1982;aktor
322;Natan;SADOWSKA;01.05.1993;aktor
323;Marzena;BARAN;01.10.1998;aktor
324;Gracjan;MICHALAK;01.04.1971;aktor
325;Pamela;ZALEWSKA;01.06.1970;aktor
326;Agnieszka;JANKOWSKA;01.12.1992;aktor
327;Albin;WRÓBLEWSKA;01.05.1988;aktor
328;¯aneta;RUTKOWSKA;01.09.1976;aktor
329;Aneta;SZEKPSIR;01.07.1997;aktor
330;Julia;TOMASZEWSKA;01.09.1986;aktor
331;Arkadiusz;KWIATKOWSKA;01.12.1982;aktor
332;Marcjanna;RUTKOWSKA;01.02.1992;aktor
333;Dominika;W£ODARCZYK;01.02.1972;aktor
334;Zofia;PAWLAK;01.03.1979;aktor
335;Helena;MARCINIAK;01.03.1984;aktor
336;Joanna;DUDA;01.04.1991;aktor
337;Zofia;BA£KA;01.05.1988;aktor
338;Sylwia;WILK;01.04.1996;aktor
339;Leon;KUCHARSKA;01.01.1990;aktor
340;Odetta;NOWAK;01.12.1992;aktor
341;Kamila;WIECZOREK;01.08.1984;aktor
342;Dorota;KORYTKOWSKI;01.07.1972;aktor
343;Marcjanna;TOMASZEWSKA;01.06.1995;aktor
344;Pawe³;W£ODARCZYK;01.06.1990;aktor
345;Albin;WÓJCIK;01.12.1972;aktor
346;Marcjanna;SOKO£OWSKA;01.09.1976;aktor
347;Albin;ZAWADZKA;01.11.1990;aktor
348;Helena;BARAN;01.09.1986;aktor
349;Arkadiusz;WIECZOREK;01.04.1996;aktor
350;Aneta;SAWICKA;01.02.1972;aktor
351;Pawe³;WYSOCKA;01.05.1998;aktor
352;Natan;KOWALCZYK;01.05.1978;aktor
353;Krystyna;MAKOWSKA;01.07.1987;aktor
354;Franciszek;W£ODARCZYK;01.11.1995;aktor
355;Zofia;KRAWCZYK;01.04.1996;aktor
356;Odetta;SIKORA;01.09.1986;aktor
357;Jan;WOJCIECHOWSKA;01.12.1987;aktor
358;Helena;OLSZEWSKA;01.11.1975;aktor
359;Krzysztof;DUDEK;01.09.1971;aktor
360;Wiliam;MAZUR;01.11.1995;aktor
361;Adrianna;LEWANDOWSKA;01.08.1974;aktor
362;Julian;JAKUBOWSKA;01.12.1987;aktor
363;Arleta;KRAWCZYK;01.11.1995;aktor
364;Kamila;PIOTROWSKA;01.03.1974;aktor
365;Ariana;LEWANDOWSKA;01.06.1975;aktor
366;Bo¿ena;SZCZEPAÑSKA;01.09.1996;aktor
367;Martyna;LEWANDOWSKA;01.05.1978;aktor
368;Wiliam;KORYTKOWSKI;01.07.1972;aktor
369;Piotr;JAWORSKA;01.09.1996;aktor
370;Marcin;JASIÑSKA;01.12.1982;aktor
371;Zbigniew;WÓJCIK;01.04.1971;aktor
372;Martyna;WIECZOREK;01.06.1985;aktor
373;Jozue;BARAN;01.07.1982;aktor
374;Wioleta;MAZUR;01.08.1974;aktor
375;Antonina;OLSZEWSKA;01.10.1978;aktor
376;Anna;KOWALCZYK;01.05.1988;aktor
377;Helena;ZAWADZKA;01.05.1993;aktor
378;Arkadiusz;KRAWCZYK;01.09.1976;aktor
379;Pawe³;DUDEK;01.07.1982;aktor
380;Franciszek;LIS;01.11.1995;aktor
381;Maciej;KALINOWSKA;01.11.1985;aktor
382;Bernadetta;JAWORSKA;01.07.1997;aktor
383;Pamela;KRAWCZYK;01.11.1970;aktor
384;Jagna;NOWAKOWSKA;01.05.1973;aktor
385;Maciej;JASIÑSKA;01.02.1977;aktor
386;Bernadetta;MARCINIAK;01.09.1996;aktor
387;Hanna;B¥K;01.01.1975;aktor
388;Marzena;CZARNECKA;01.09.1986;aktor
389;Agnieszka;KOWALSKA;01.05.1988;aktor
390;Ariana;NOWAKOWSKA;01.06.1985;aktor
391;Wojciech;PAPIERZEWSKI;01.12.1972;aktor
392;Wojciech;KACZMAREK;01.02.1997;aktor
393;Piotr;TOMASZEWSKA;01.10.1988;aktor
394;Maciej;DUDEK;01.08.1974;aktor
395;Arkadiusz;KUBIAK;01.05.1993;aktor
396;Bernadetta;GRABOWSKA;01.08.1979;aktor
397;Jan;GRABOWSKA;01.04.1991;aktor
398;Bo¿ena;SZEWCZYK;01.06.1990;aktor
399;Teresa;NOWAK;01.12.1982;aktor
400;Jozue;WITKOWSKA;01.08.1989;aktor
401;Adrianna;PAWLAK;01.10.1988;aktor
402;Krzysztof;MAJEWSKA;01.07.1977;aktor
403;Bernadetta;DUDEK;01.04.1971;aktor
404;Gracjan;M¥CZKA;01.07.1997;aktor
405;Maksymilian;JAWORSKA;01.11.1985;aktor
406;Arleta;PACZOS;01.04.1971;aktor
407;Wojciech;LIS;01.06.1985;aktor
408;Anna;CHMIELEWSKA;01.06.1980;aktor
409;S³awomir;CZARNECKA;01.08.1979;aktor
410;Krzysztof;KOWALSKA;01.12.1972;aktor
411;Marzena;SZEWCZYK;01.08.1979;aktor
412;Marcin;KOWALCZYK;01.09.1971;aktor
413;Maciej;MAKOWSKA;01.03.1994;aktor
414;Andrzej;KORYTKOWSKI;01.11.1970;aktor
415;Ariana;NOWICKA;01.03.1989;aktor
416;¯aneta;JANKOWSKA;01.09.1981;aktor
417;Krystyna;KORYTKOWSKI;01.02.1972;aktor
418;Zofia;SZEKPSIR;01.05.1983;aktor
419;Julia;PAWLUK;01.08.1979;aktor
420;Krzysztof;MICHALSKA;01.03.1974;aktor
421;Jozue;KWIATKOWSKA;01.04.1991;aktor
422;Odetta;SZEWCZYK;01.05.1973;aktor
423;Stanis³aw;OSTROWSKA;01.06.1990;aktor
424;Wioleta;MICHALSKA;01.01.1980;aktor
425;Lucyna;SZCZEPAÑSKA;01.09.1986;aktor
426;Mirella;MICHALSKA;01.08.1994;aktor
427;Katarzyna;SZEWCZYK;01.07.1982;aktor
428;Lucyna;MALINOWSKA;01.07.1982;aktor
429;Jacek;BA£KA;01.01.1980;aktor
430;Sylwia;KOWALSKA;01.06.1985;aktor
431;Gracjan;KUCHARSKA;01.01.1995;aktor
432;Jagoda;KACZMAREK;01.07.1977;aktor
433;Marcjanna;SIKORA;01.04.1971;aktor
434;Julian;KAMIÑSKA;01.02.1997;aktor
435;Wiliam;NOWICKA;01.03.1984;aktor
436;Bernadetta;DUDEK;01.04.1991;aktor
437;Antoni;SZEKPSIR;01.10.1993;aktor
438;Jagoda;PIETRZAK;01.08.1994;aktor
439;Magdalena;WRÓBLEWSKA;01.05.1988;aktor
440;Lucyna;WYSOCKA;01.09.1996;aktor
441;Antonina;WIECZOREK;01.12.1977;aktor
442;Wioleta;PAWLUK;01.07.1977;aktor
443;Jan;WIECZOREK;01.01.1995;aktor
444;Zuzanna;PAWLUK;01.05.1973;aktor
445;Wiliam;SIKORA;01.06.1995;aktor
446;Adrianna;ZAWADZKA;01.02.1987;aktor
447;Marcjanna;OLSZEWSKA;01.05.1983;aktor
448;Bernadetta;ZALEWSKA;01.08.1994;aktor
449;S³awomir;JANKOWSKA;01.09.1996;aktor
450;Kamila;JASIÑSKA;01.02.1997;aktor
451;Piotr;OSTROWSKA;01.03.1979;aktor
452;Petronella;KORYTKOWSKI;01.11.1990;aktor
453;Arleta;KWIATKOWSKA;01.05.1973;aktor
454;Katarzyna;MARCINIAK;01.08.1974;aktor
455;Magdalena;SOKO£OWSKA;01.01.1975;aktor
456;S³awomir;NOWAK;01.10.1983;aktor
457;Krzysztof;CHMIELEWSKA;01.06.1980;aktor
458;Ariana;NOWICKA;01.04.1981;aktor
459;Szymon;GRABOWSKA;01.08.1994;aktor
460;Pamela;SZEWCZYK;01.09.1996;aktor
461;Adrianna;SZEWCZYK;01.11.1995;aktor
462;Bo¿ena;WRÓBLEWSKA;01.12.1977;aktor
463;Franciszek;OLSZEWSKA;01.09.1996;aktor
464;Arkadiusz;RUTKOWSKA;01.03.1974;aktor
465;Jagoda;SIKORA;01.11.1995;aktor
466;Bo¿ena;SZCZEPAÑSKA;01.05.1983;aktor
467;Helena;ZAWADZKA;01.11.1995;aktor
468;Dorota;KOWALCZYK;01.04.1996;aktor
469;Zuzanna;DUDEK;01.01.1975;aktor
470;Bogumi³a;KUCHARSKA;01.07.1992;aktor
471;Antoni;KRAWCZYK;01.09.1981;aktor
472;Helena;KWIATKOWSKA;01.06.1995;aktor
473;Petronella;SADOWSKA;01.01.1990;aktor
474;Magdalena;W£ODARCZYK;01.06.1985;aktor
475;Sylwia;CHMIELEWSKA;01.12.1972;aktor
476;Julia;NOWAKOWSKA;01.11.1980;aktor
477;Katarzyna;TOMASZEWSKA;01.07.1982;aktor
478;Antonina;LEWANDOWSKA;01.06.1995;aktor
479;Maciej;PIOTROWSKA;01.11.1990;aktor
480;Irena;PAWLAK;01.04.1981;aktor
481;Jadwiga;JASIÑSKA;01.08.1974;aktor
482;Marika;KALINOWSKA;01.06.1975;aktor
483;Franciszek;OLSZEWSKA;01.09.1991;aktor
484;Teresa;MICHALAK;01.11.1975;aktor
485;Maksymilian;KRAWCZYK;01.10.1983;aktor
486;Jadwiga;KORYTKOWSKI;01.09.1981;aktor
487;Natan;RUTKOWSKA;01.06.1995;aktor
488;Julia;MAKOWSKA;01.10.1998;aktor
489;Jagna;ADAMCZYK;01.08.1989;aktor
490;Zbigniew;WÓJCIK;01.03.1994;aktor
491;Irena;SOKO£OWSKA;01.07.1997;aktor
492;Jozue;ZAWADZKA;01.07.1977;aktor
493;Antoni;OLSZEWSKA;01.03.1989;aktor
494;Kamila;KOWALCZYK;01.03.1974;aktor
495;Odetta;NOWAKOWSKA;01.06.1990;aktor
496;Pawe³;SAWICKA;01.09.1991;aktor
497;Jagoda;WALCZAK;01.02.1972;aktor
498;Arkadiusz;KORYTKOWSKI;01.04.1991;aktor
499;Wioleta;WIECZOREK;01.03.1984;aktor
