id;imie;nazwisko;dataUrodzenia;zawod
556;Jozue;WYSOCKA;01.09.1971;rezyser
557;Helena;ZALEWSKA;01.08.1984;rezyser
558;Stanis³aw;W£ODARCZYK;01.05.1988;rezyser
559;Maciej;NOWAK;01.10.1998;rezyser
560;Lucyna;KOWALCZYK;01.10.1978;rezyser
561;Magdalena;MARCINIAK;01.07.1992;rezyser
562;Jagoda;DUDA;01.06.1995;rezyser
563;Maria;SOKO£OWSKA;01.10.1983;rezyser
564;Mirella;B¥K;01.07.1972;rezyser
565;Franciszek;SADOWSKA;01.08.1974;rezyser
566;Arleta;JASIÑSKA;01.05.1998;rezyser
567;Bogumi³a;KWIATKOWSKA;01.12.1982;rezyser
568;Nikola;MAZUR;01.01.1975;rezyser
569;Aneta;KALINOWSKA;01.08.1974;rezyser
570;Krzysztof;SADOWSKA;01.08.1979;rezyser
571;Maksymilian;MALINOWSKA;01.10.1978;rezyser
572;Teresa;TOMASZEWSKA;01.05.1983;rezyser
573;Jan;KUBIAK;01.05.1983;rezyser
574;Katarzyna;WITKOWSKA;01.06.1985;rezyser
575;Bogumi³a;KUBIAK;01.07.1972;rezyser
576;Mirella;WALCZAK;01.01.1970;rezyser
577;Aneta;SZCZEPAÑSKA;01.12.1987;rezyser
578;Kamila;PAPIERZEWSKI;01.12.1987;rezyser
579;Jagna;KUBIAK;01.08.1994;rezyser
580;Ariana;RUTKOWSKA;01.09.1971;rezyser
581;Marika;OLSZEWSKA;01.10.1983;rezyser
582;Pawe³;RUTKOWSKA;01.12.1992;rezyser
583;Marika;WIECZOREK;01.06.1975;rezyser
584;Helena;MALINOWSKA;01.01.1970;rezyser
585;Martyna;ZAWADZKA;01.08.1989;rezyser
586;Pawe³;BARAN;01.05.1983;rezyser
587;Hanna;MICHALSKA;01.08.1979;rezyser
588;Martyna;WOJCIECHOWSKA;01.05.1998;rezyser
589;Sylwia;WYSOCKA;01.09.1971;rezyser
590;Zofia;RUTKOWSKA;01.06.1980;rezyser
591;Odetta;KORYTKOWSKI;01.04.1971;rezyser
592;Martyna;KOWALSKA;01.02.1977;rezyser
593;Arleta;ZAWADZKA;01.11.1990;rezyser
594;Zofia;MACIEJEWSKA;01.05.1988;rezyser
595;Maciej;PAWLUK;01.05.1983;rezyser
596;Maksymilian;NOWAK;01.08.1994;rezyser
597;Wioleta;OLSZEWSKA;01.06.1990;rezyser
598;Albin;WRÓBLEWSKA;01.08.1989;rezyser
599;Stanis³aw;OSTROWSKA;01.08.1994;rezyser
