id;imie;nazwisko;dataUrodzenia;login;haslo
132;Marika;WYSOCKA;01.04.1991;haslo58132;
133;Wiliam;BORKOWSKA;01.12.1997;haslo48133;
134;Pamela;NOWICKA;01.12.1972;haslo31134;
135;Antonina;WILK;01.07.1997;haslo26135;
136;Jacek;TOMASZEWSKA;01.02.1977;haslo16136;
137;Wincenty;MICHALSKA;01.10.1993;haslo34137;
138;Jagna;SAWICKA;01.10.1983;haslo50138;
139;Marcjanna;KUCHARSKA;01.08.1994;haslo32139;
140;Zbigniew;MICHALAK;01.05.1998;haslo53140;
141;Piotr;SOKO£OWSKA;01.06.1980;haslo54141;
142;Marika;SADOWSKA;01.09.1986;haslo17142;
143;Jozue;BARAN;01.07.1972;haslo68143;
144;Arleta;WIECZOREK;01.05.1973;haslo13144;
145;Mirella;PAPIERZEWSKI;01.10.1988;haslo11145;
146;Kamila;DUDEK;01.04.1996;haslo8146;
147;Marika;MAKOWSKA;01.08.1979;haslo45147;
148;Izabela;SIKORA;01.12.1972;haslo17148;
149;Ariana;KALINOWSKA;01.05.1988;haslo18149;
150;Stanis³aw;LEWANDOWSKA;01.02.1972;haslo22150;
151;Hanna;KALINOWSKA;01.06.1975;haslo2151;
152;Albin;KACZMAREK;01.09.1986;haslo26152;
153;Andrzej;DUDA;01.09.1976;haslo13153;
154;Marika;WALCZAK;01.10.1998;haslo58154;
155;Magdalena;MAKOWSKA;01.10.1978;haslo63155;
156;Hanna;M¥CZKA;01.10.1998;haslo32156;
157;Aleksander;SAWICKA;01.09.1976;haslo22157;
158;Petronella;KACZMAREK;01.08.1974;haslo32158;
159;Aneta;WALCZAK;01.10.1988;haslo23159;
160;Jozue;SAWICKA;01.12.1977;haslo60160;
161;Jagoda;KUCHARSKA;01.10.1978;haslo7161;
162;Józef;TOMASZEWSKA;01.03.1989;haslo6162;
163;Wojciech;NOWICKA;01.01.1975;haslo63163;
164;Irena;MARCINIAK;01.01.1970;haslo51164;
165;Antonina;W£ODARCZYK;01.11.1990;haslo3165;
166;Bo¿ena;NOWAK;01.04.1991;haslo49166;
167;Bo¿ena;BORKOWSKA;01.03.1994;haslo15167;
168;Lilianna;PACZOS;01.08.1994;haslo26168;
169;Sylwia;CZARNECKA;01.12.1997;haslo40169;
170;Jadwiga;PIOTROWSKA;01.10.1988;haslo56170;
171;Franciszek;BORKOWSKA;01.11.1975;haslo4171;
172;Teresa;KACZMAREK;01.04.1991;haslo7172;
173;Helena;TOMASZEWSKA;01.05.1988;haslo47173;
174;Ariana;NOWAKOWSKA;01.12.1972;haslo2174;
175;Ariana;PAPIERZEWSKI;01.10.1973;haslo56175;
176;Nikola;PAWLAK;01.06.1985;haslo58176;
177;Maria;RUTKOWSKA;01.06.1970;haslo63177;
178;Franciszek;ADAMCZYK;01.04.1981;haslo7178;
179;Antonina;SZCZEPAÑSKA;01.12.1982;haslo56179;
180;Sylwia;W£ODARCZYK;01.11.1995;haslo21180;
181;Sylwia;WÓJCIK;01.09.1981;haslo18181;
182;Maria;PAPIERZEWSKI;01.08.1979;haslo36182;
183;Izabela;DUDA;01.01.1985;haslo12183;
184;Lucyna;WYSOCKA;01.08.1994;haslo58184;
185;Szymon;KACZMAREK;01.07.1987;haslo18185;
186;Agnieszka;KOWALCZYK;01.03.1974;haslo13186;
187;Petronella;MAJEWSKA;01.01.1990;haslo16187;
188;Zofia;MAJEWSKA;01.09.1996;haslo52188;
189;Martyna;RUTKOWSKA;01.10.1978;haslo39189;
190;Franciszek;PIETRZAK;01.11.1975;haslo62190;
191;Kamila;WÓJCIK;01.04.1996;haslo3191;
192;Maciej;WÓJCIK;01.01.1980;haslo38192;
193;Jagna;MACIEJEWSKA;01.04.1976;haslo10193;
194;Jagoda;CHMIELEWSKA;01.09.1981;haslo69194;
195;Franciszek;PAPIERZEWSKI;01.12.1987;haslo12195;
196;Stanis³aw;BARAN;01.03.1974;haslo47196;
197;Stanis³aw;PAPIERZEWSKI;01.12.1992;haslo29197;
198;Pamela;DUDA;01.07.1977;haslo22198;
199;Maria;PAPIERZEWSKI;01.11.1985;haslo3199;
200;S³awomir;M¥CZKA;01.09.1971;haslo3200;
201;Dorota;SZEKPSIR;01.11.1975;haslo1201;
202;Marika;SOKO£OWSKA;01.11.1975;haslo21202;
203;Katarzyna;NOWICKA;01.12.1982;haslo48203;
204;Magdalena;KAMIÑSKA;01.07.1977;haslo10204;
205;Bogumi³a;MAZUR;01.03.1979;haslo66205;
206;Stanis³aw;MALINOWSKA;01.03.1984;haslo12206;
207;Petronella;SZCZEPAÑSKA;01.06.1970;haslo21207;
208;Odetta;M¥CZKA;01.02.1982;haslo43208;
209;¯aneta;KWIATKOWSKA;01.11.1975;haslo29209;
210;Helena;MICHALAK;01.10.1983;haslo6210;
211;Jozue;ZALEWSKA;01.07.1987;haslo40211;
212;Dominika;MACIEJEWSKA;01.08.1994;haslo19212;
213;Bogumi³a;TOMASZEWSKA;01.12.1987;haslo55213;
214;Krzysztof;PAWLUK;01.12.1987;haslo26214;
215;Lilianna;CZARNECKA;01.10.1978;haslo70215;
216;Irena;KUCHARSKA;01.08.1984;haslo45216;
217;Pamela;MACIEJEWSKA;01.01.1995;haslo61217;
218;Ariana;LIS;01.02.1982;haslo3218;
219;Jacek;ZAWADZKA;01.06.1985;haslo60219;
220;Albin;ZAWADZKA;01.03.1989;haslo28220;
221;Marika;PAWLAK;01.10.1988;haslo59221;
222;Marzena;JAKUBOWSKA;01.05.1973;haslo57222;
223;Julia;B¥K;01.05.1993;haslo59223;
224;Stanis³aw;KOWALSKA;01.03.1994;haslo69224;
225;Gracjan;PAPIERZEWSKI;01.04.1996;haslo43225;
226;Jozue;JAWORSKA;01.03.1984;haslo33226;
227;Ariana;KOWALCZYK;01.07.1992;haslo41227;
228;Teresa;GRABOWSKA;01.04.1976;haslo45228;
229;Marcin;KALINOWSKA;01.12.1997;haslo5229;
230;Gracjan;W£ODARCZYK;01.12.1987;haslo61230;
231;Józef;WYSOCKA;01.12.1977;haslo5231;
232;Aneta;DUDA;01.05.1993;haslo52232;
233;Julia;MACIEJEWSKA;01.12.1972;haslo17233;
234;Natan;JASIÑSKA;01.11.1970;haslo10234;
235;Piotr;PIOTROWSKA;01.08.1979;haslo67235;
236;Marcjanna;MICHALSKA;01.08.1989;haslo48236;
237;Krzysztof;PAWLAK;01.04.1971;haslo24237;
238;Stanis³aw;WILK;01.06.1990;haslo13238;
239;Ariana;WOJCIECHOWSKA;01.11.1980;haslo51239;
240;Jacek;KORYTKOWSKI;01.01.1980;haslo42240;
241;¯aneta;MAZUR;01.07.1972;haslo27241;
242;Bo¿ena;OLSZEWSKA;01.07.1987;haslo67242;
243;Marzena;KOWALCZYK;01.11.1995;haslo68243;
244;Jan;SAWICKA;01.07.1992;haslo47244;
245;Pawe³;ZAWADZKA;01.07.1992;haslo3245;
246;Wojciech;KUBIAK;01.09.1976;haslo33246;
247;Stanis³aw;MAKOWSKA;01.10.1983;haslo66247;
248;Wioleta;WILK;01.11.1990;haslo1248;
249;Maria;NOWAK;01.11.1970;haslo13249;
250;Dominika;KUBIAK;01.05.1993;haslo37250;
251;Izabela;RUTKOWSKA;01.02.1982;haslo26251;
252;Odetta;SIKORA;01.04.1991;haslo70252;
253;Mirella;SAWICKA;01.09.1996;haslo34253;
254;Jacek;KOWALCZYK;01.07.1987;haslo43254;
255;Jagna;WOJCIECHOWSKA;01.12.1982;haslo9255;
256;Jagoda;PACZOS;01.01.1995;haslo14256;
257;Jan;WIECZOREK;01.05.1983;haslo33257;
258;Izabela;CZARNECKA;01.02.1972;haslo54258;
259;Magdalena;BORKOWSKA;01.01.1975;haslo55259;
260;Dorota;TOMASZEWSKA;01.07.1977;haslo44260;
261;Jacek;WIECZOREK;01.07.1997;haslo50261;
262;Martyna;TOMASZEWSKA;01.02.1992;haslo52262;
263;Aneta;MALINOWSKA;01.01.1975;haslo2263;
264;Jagna;SIKORA;01.01.1975;haslo70264;
265;Arkadiusz;WOJCIECHOWSKA;01.02.1972;haslo44265;
266;Szymon;WYSOCKA;01.10.1993;haslo13266;
267;Joanna;RUTKOWSKA;01.01.1985;haslo24267;
268;Kamila;WRÓBLEWSKA;01.01.1980;haslo28268;
269;Ariana;SOKO£OWSKA;01.07.1992;haslo2269;
270;Marcjanna;JANKOWSKA;01.04.1996;haslo54270;
271;Helena;KALINOWSKA;01.05.1988;haslo4271;
272;Aleksander;PIETRZAK;01.09.1996;haslo20272;
273;Wiliam;LEWANDOWSKA;01.01.1980;haslo8273;
274;Izabela;PAWLUK;01.05.1973;haslo50274;
275;Aleksander;MACIEJEWSKA;01.10.1973;haslo10275;
276;Aleksander;PIOTROWSKA;01.07.1977;haslo32276;
277;Zbigniew;DUDA;01.06.1995;haslo68277;
278;Gracjan;SIKORA;01.11.1995;haslo21278;
279;Aneta;JAWORSKA;01.05.1978;haslo7279;
280;Nikola;PACZOS;01.05.1998;haslo68280;
281;Marzena;KUBIAK;01.07.1972;haslo21281;
282;Lilianna;KUCHARSKA;01.03.1984;haslo29282;
283;Bernadetta;JANKOWSKA;01.10.1988;haslo15283;
284;Agnieszka;KAMIÑSKA;01.11.1995;haslo20284;
285;Teresa;KAMIÑSKA;01.03.1979;haslo33285;
286;Krzysztof;PIOTROWSKA;01.03.1994;haslo34286;
287;Zofia;WALCZAK;01.03.1979;haslo29287;
288;Piotr;LIS;01.10.1998;haslo15288;
289;Marcjanna;KUBIAK;01.05.1973;haslo31289;
290;Krzysztof;WIECZOREK;01.11.1985;haslo30290;
291;Aleksander;MAJEWSKA;01.01.1995;haslo57291;
292;Adrianna;JANKOWSKA;01.04.1991;haslo2292;
293;¯aneta;MARCINIAK;01.01.1970;haslo28293;
294;Szymon;MICHALSKA;01.12.1977;haslo44294;
295;Mirella;NOWICKA;01.03.1994;haslo25295;
296;Jacek;DUDEK;01.07.1982;haslo6296;
297;Hanna;DUDEK;01.03.1994;haslo28297;
298;Magdalena;MAKOWSKA;01.07.1987;haslo61298;
299;Jagoda;ZAWADZKA;01.03.1974;haslo22299;
300;Szymon;SZEWCZYK;01.04.1986;haslo8300;
301;Wojciech;WITKOWSKA;01.09.1996;haslo65301;
302;Bo¿ena;SOKO£OWSKA;01.02.1992;haslo4302;
303;Magdalena;DUDEK;01.05.1988;haslo41303;
304;Odetta;KOWALSKA;01.11.1975;haslo57304;
305;Lucyna;CHMIELEWSKA;01.03.1979;haslo13305;
306;Julia;BA£KA;01.03.1984;haslo37306;
307;Julia;PAPIERZEWSKI;01.05.1983;haslo17307;
308;Maria;JAKUBOWSKA;01.06.1995;haslo11308;
309;Wiliam;WILK;01.12.1992;haslo43309;
310;Albin;PAPIERZEWSKI;01.01.1975;haslo57310;
311;Gracjan;WITKOWSKA;01.01.1995;haslo25311;
312;Izabela;DUDA;01.01.1985;haslo53312;
313;Bogumi³a;WRÓBLEWSKA;01.02.1977;haslo25313;
314;Maria;GRABOWSKA;01.05.1988;haslo32314;
315;Gracjan;ZAWADZKA;01.08.1989;haslo26315;
316;Agnieszka;DUDEK;01.08.1994;haslo14316;
317;Andrzej;MAZUR;01.05.1983;haslo36317;
318;Piotr;PACZOS;01.06.1985;haslo33318;
319;Antoni;DUDEK;01.01.1980;haslo43319;
320;Stanis³aw;MAKOWSKA;01.12.1972;haslo51320;
321;Maria;PAWLUK;01.03.1979;haslo18321;
322;Hanna;KUBIAK;01.08.1979;haslo33322;
323;Pawe³;MAKOWSKA;01.04.1991;haslo5323;
324;Wincenty;BORKOWSKA;01.05.1993;haslo22324;
325;Franciszek;M¥CZKA;01.10.1978;haslo57325;
326;Lucyna;SIKORA;01.07.1982;haslo52326;
327;Julian;M¥CZKA;01.05.1978;haslo63327;
328;Marcin;ZAWADZKA;01.08.1974;haslo54328;
329;Marika;JAWORSKA;01.04.1981;haslo70329;
330;Jadwiga;SZEWCZYK;01.11.1975;haslo9330;
331;Petronella;PAW£OWSKA;01.10.1988;haslo35331;
332;Julian;PAWLUK;01.05.1988;haslo31332;
333;Maria;WILK;01.12.1972;haslo62333;
334;Jagna;KAMIÑSKA;01.03.1984;haslo6334;
335;Dominika;WILK;01.11.1970;haslo27335;
336;Natan;WRÓBLEWSKA;01.01.1980;haslo18336;
337;Lucyna;CHMIELEWSKA;01.07.1987;haslo37337;
338;Bernadetta;WYSOCKA;01.04.1986;haslo67338;
339;Hanna;JAWORSKA;01.03.1984;haslo15339;
340;Wioleta;WÓJCIK;01.02.1997;haslo38340;
341;Wojciech;SADOWSKA;01.06.1980;haslo32341;
342;Arkadiusz;KALINOWSKA;01.03.1979;haslo38342;
343;Magdalena;NOWAK;01.02.1982;haslo68343;
344;Martyna;M¥CZKA;01.06.1970;haslo47344;
345;Franciszek;WOJCIECHOWSKA;01.07.1997;haslo65345;
346;Gracjan;PAPIERZEWSKI;01.03.1989;haslo18346;
347;Sylwia;ZAWADZKA;01.09.1981;haslo35347;
348;Zbigniew;LEWANDOWSKA;01.05.1983;haslo56348;
349;Petronella;MARCINIAK;01.03.1989;haslo2349;
350;Marika;NOWAK;01.12.1992;haslo68350;
351;Joanna;ADAMCZYK;01.06.1970;haslo29351;
352;Lilianna;OSTROWSKA;01.11.1995;haslo3352;
353;Lucyna;SZEWCZYK;01.05.1983;haslo22353;
354;Antonina;BORKOWSKA;01.12.1972;haslo16354;
355;Wiliam;ZAWADZKA;01.07.1982;haslo35355;
356;S³awomir;KACZMAREK;01.02.1992;haslo24356;
357;Wojciech;JANKOWSKA;01.03.1994;haslo19357;
358;Zofia;PAPIERZEWSKI;01.06.1975;haslo9358;
359;Zuzanna;MAJEWSKA;01.02.1992;haslo48359;
360;Andrzej;W£ODARCZYK;01.09.1991;haslo34360;
361;Katarzyna;PAWLAK;01.01.1975;haslo49361;
362;Jacek;KWIATKOWSKA;01.12.1992;haslo7362;
363;Adrianna;DUDA;01.04.1971;haslo53363;
364;Katarzyna;MAZUR;01.04.1971;haslo24364;
365;Sylwia;B¥K;01.06.1970;haslo10365;
366;Marcjanna;MAZUR;01.11.1990;haslo12366;
367;Aleksander;NOWAK;01.02.1982;haslo34367;
368;Zuzanna;MALINOWSKA;01.10.1988;haslo40368;
369;Piotr;ZAWADZKA;01.02.1987;haslo55369;
370;Jacek;MARCINIAK;01.04.1981;haslo35370;
371;Franciszek;CHMIELEWSKA;01.09.1976;haslo6371;
372;Arleta;WOJCIECHOWSKA;01.05.1998;haslo56372;
373;Marika;PAPIERZEWSKI;01.12.1987;haslo42373;
374;Anna;WÓJCIK;01.01.1980;haslo67374;
375;Franciszek;LIS;01.02.1977;haslo36375;
376;Wiliam;WIECZOREK;01.12.1987;haslo57376;
377;Marcjanna;SZCZEPAÑSKA;01.01.1985;haslo40377;
378;Anna;MICHALAK;01.07.1972;haslo5378;
379;Agnieszka;SAWICKA;01.04.1981;haslo42379;
380;Arleta;BORKOWSKA;01.01.1990;haslo23380;
381;Bogumi³a;WIECZOREK;01.10.1993;haslo16381;
382;Wincenty;NOWAK;01.11.1985;haslo26382;
383;Aleksander;KRAWCZYK;01.09.1981;haslo15383;
384;Jadwiga;KRAWCZYK;01.08.1974;haslo67384;
385;Izabela;NOWAKOWSKA;01.11.1990;haslo34385;
386;Katarzyna;TOMASZEWSKA;01.04.1986;haslo32386;
387;Krystyna;MACIEJEWSKA;01.02.1987;haslo15387;
388;Helena;DUDA;01.01.1970;haslo50388;
389;Bogumi³a;SIKORA;01.08.1994;haslo36389;
390;Lilianna;PAWLUK;01.12.1982;haslo35390;
391;Izabela;PAWLAK;01.04.1996;haslo53391;
392;Albin;PAWLAK;01.07.1972;haslo22392;
393;Agnieszka;BARAN;01.02.1997;haslo30393;
394;Gracjan;KUCHARSKA;01.12.1997;haslo28394;
395;Adrianna;PAWLUK;01.06.1980;haslo30395;
396;Zofia;SIKORA;01.09.1996;haslo11396;
397;Pamela;SAWICKA;01.06.1970;haslo17397;
398;Krzysztof;SZEWCZYK;01.08.1994;haslo32398;
399;Bo¿ena;JASIÑSKA;01.10.1998;haslo63399;
400;Leon;TOMASZEWSKA;01.12.1977;haslo62400;
401;¯aneta;NOWAKOWSKA;01.03.1994;haslo40401;
402;Franciszek;ZALEWSKA;01.01.1985;haslo34402;
403;Aneta;M¥CZKA;01.01.1995;haslo58403;
404;Jozue;JASIÑSKA;01.05.1983;haslo28404;
405;Aleksander;RUTKOWSKA;01.08.1994;haslo26405;
406;Dorota;MAKOWSKA;01.05.1988;haslo15406;
407;Sylwia;WOJCIECHOWSKA;01.02.1987;haslo17407;
408;Aneta;WYSOCKA;01.12.1982;haslo15408;
409;Pawe³;NOWICKA;01.06.1970;haslo15409;
410;Józef;KWIATKOWSKA;01.02.1972;haslo38410;
411;Petronella;DUDEK;01.10.1988;haslo43411;
412;Zofia;LEWANDOWSKA;01.02.1992;haslo69412;
413;Katarzyna;MICHALAK;01.04.1991;haslo60413;
414;Pawe³;OLSZEWSKA;01.04.1986;haslo62414;
415;Sylwia;TOMASZEWSKA;01.07.1977;haslo19415;
416;Agnieszka;ZALEWSKA;01.04.1986;haslo44416;
417;Wincenty;JAWORSKA;01.08.1974;haslo55417;
418;Aneta;PAW£OWSKA;01.12.1972;haslo49418;
419;Bernadetta;NOWAK;01.10.1983;haslo4419;
420;Antonina;WITKOWSKA;01.11.1990;haslo67420;
421;Ariana;WIECZOREK;01.06.1980;haslo35421;
422;Natan;WALCZAK;01.03.1989;haslo38422;
423;Magdalena;MALINOWSKA;01.04.1996;haslo61423;
424;Lucyna;W£ODARCZYK;01.10.1983;haslo57424;
425;Franciszek;DUDEK;01.02.1992;haslo41425;
426;Anna;ZAWADZKA;01.12.1972;haslo39426;
427;Krystyna;KUBIAK;01.06.1985;haslo60427;
428;Aleksander;ADAMCZYK;01.05.1978;haslo34428;
429;Wojciech;WYSOCKA;01.05.1988;haslo57429;
430;Szymon;NOWICKA;01.03.1979;haslo67430;
431;S³awomir;WIECZOREK;01.05.1973;haslo20431;
432;Marcin;KOWALCZYK;01.04.1971;haslo55432;
433;Irena;SZCZEPAÑSKA;01.06.1985;haslo30433;
434;Adrianna;KOWALSKA;01.09.1986;haslo14434;
435;Helena;CHMIELEWSKA;01.01.1975;haslo34435;
436;Anna;JASIÑSKA;01.03.1994;haslo59436;
437;Joanna;OLSZEWSKA;01.05.1993;haslo59437;
438;Maksymilian;JAKUBOWSKA;01.12.1992;haslo68438;
439;Antonina;WOJCIECHOWSKA;01.12.1977;haslo61439;
440;Irena;WALCZAK;01.11.1975;haslo32440;
441;Jagna;SOKO£OWSKA;01.02.1972;haslo67441;
442;Szymon;JASIÑSKA;01.03.1989;haslo67442;
443;Hanna;KACZMAREK;01.08.1989;haslo57443;
444;Pamela;WIECZOREK;01.07.1982;haslo62444;
445;S³awomir;NOWAK;01.03.1979;haslo33445;
446;Pamela;KACZMAREK;01.03.1974;haslo17446;
447;Wiliam;BARAN;01.02.1992;haslo22447;
448;Teresa;LEWANDOWSKA;01.08.1974;haslo33448;
449;Jozue;SOKO£OWSKA;01.06.1975;haslo65449;
450;Martyna;SOKO£OWSKA;01.11.1975;haslo24450;
451;Stanis³aw;KACZMAREK;01.07.1987;haslo26451;
452;Bernadetta;KUBIAK;01.02.1992;haslo27452;
453;Lilianna;PAWLUK;01.07.1987;haslo19453;
454;Nikola;BARAN;01.03.1994;haslo60454;
455;Zofia;WIECZOREK;01.10.1973;haslo3455;
456;Kamila;WRÓBLEWSKA;01.04.1996;haslo3456;
457;Mirella;LEWANDOWSKA;01.10.1973;haslo29457;
458;Franciszek;PAPIERZEWSKI;01.07.1987;haslo54458;
459;Marika;M¥CZKA;01.05.1983;haslo16459;
460;Maria;PIETRZAK;01.06.1980;haslo55460;
461;Krystyna;KACZMAREK;01.01.1980;haslo22461;
462;Antonina;PAWLUK;01.06.1995;haslo42462;
463;Arleta;RUTKOWSKA;01.04.1981;haslo51463;
