id;imie;nazwisko;dataUrodzenia;zawod
541;Maciej;TOMASZEWSKA;01.10.1978;rezyser
542;Zuzanna;SZEKPSIR;01.04.1976;rezyser
543;Krystyna;MAZUR;01.02.1997;rezyser
544;Antoni;MICHALSKA;01.10.1973;rezyser
545;Odetta;MACIEJEWSKA;01.11.1980;rezyser
546;Teresa;DUDA;01.03.1984;rezyser
547;Agnieszka;SOKO£OWSKA;01.11.1970;rezyser
548;Zbigniew;NOWICKA;01.10.1988;rezyser
549;Marcjanna;MICHALAK;01.06.1995;rezyser
550;Bogumi³a;WÓJCIK;01.10.1998;rezyser
551;Natan;MICHALSKA;01.02.1972;rezyser
552;Aleksander;LIS;01.05.1973;rezyser
553;Zbigniew;KAMIÑSKA;01.09.1996;rezyser
554;Irena;KOWALSKA;01.01.1995;rezyser
555;Dorota;NOWAK;01.07.1992;rezyser
556;Jan;MALINOWSKA;01.12.1972;rezyser
557;Krystyna;JAKUBOWSKA;01.10.1998;rezyser
558;Marcjanna;BORKOWSKA;01.10.1973;rezyser
559;Aleksander;KAMIÑSKA;01.06.1995;rezyser
560;Gracjan;JAKUBOWSKA;01.12.1997;rezyser
561;Pawe³;WOJCIECHOWSKA;01.12.1992;rezyser
562;Maciej;KALINOWSKA;01.10.1998;rezyser
563;Stanis³aw;NOWICKA;01.11.1975;rezyser
564;Albin;ZAWADZKA;01.03.1979;rezyser
565;Natan;KWIATKOWSKA;01.12.1977;rezyser
566;Jagna;RUTKOWSKA;01.09.1986;rezyser
567;¯aneta;W£ODARCZYK;01.10.1973;rezyser
568;Bo¿ena;NOWICKA;01.08.1984;rezyser
569;Julia;BA£KA;01.02.1972;rezyser
570;Dominika;MARCINIAK;01.05.1973;rezyser
571;Bernadetta;PIETRZAK;01.04.1971;rezyser
572;Petronella;LEWANDOWSKA;01.10.1978;rezyser
573;Lucyna;SOKO£OWSKA;01.10.1998;rezyser
574;Magdalena;WILK;01.03.1989;rezyser
575;Wojciech;MALINOWSKA;01.07.1982;rezyser
576;Aleksander;PIETRZAK;01.02.1992;rezyser
577;Martyna;WOJCIECHOWSKA;01.07.1987;rezyser
578;Zuzanna;MAZUR;01.04.1996;rezyser
579;Maciej;MAZUR;01.02.1972;rezyser
580;Ariana;JASIÑSKA;01.03.1984;rezyser
581;Kamila;SIKORA;01.10.1998;rezyser
582;Kamila;JAKUBOWSKA;01.05.1988;rezyser
583;¯aneta;PACZOS;01.01.1975;rezyser
584;Aneta;KRAWCZYK;01.02.1997;rezyser
585;Gracjan;WRÓBLEWSKA;01.09.1971;rezyser
586;Krystyna;PAWLAK;01.06.1985;rezyser
587;Albin;DUDEK;01.03.1994;rezyser
588;Pamela;DUDEK;01.03.1989;rezyser
589;Irena;KRAWCZYK;01.07.1997;rezyser
590;Bogumi³a;ZAWADZKA;01.10.1998;rezyser
591;Zuzanna;GRABOWSKA;01.10.1983;rezyser
592;Gracjan;LIS;01.06.1990;rezyser
593;Pawe³;JASIÑSKA;01.09.1996;rezyser
594;Lucyna;MAKOWSKA;01.03.1979;rezyser
595;Bernadetta;LIS;01.08.1994;rezyser
596;Helena;B¥K;01.07.1982;rezyser
597;Julian;SZEWCZYK;01.01.1985;rezyser
598;Julia;PAWLUK;01.03.1979;rezyser
599;Lilianna;KWIATKOWSKA;01.06.1980;rezyser
