id;imie;nazwisko;dataUrodzenia;zawod
250;Pawe³;LIS;01.02.1992;aktor
251;Marcin;DUDA;01.10.1993;aktor
252;Maksymilian;KOWALCZYK;01.02.1997;aktor
253;Anna;PIOTROWSKA;01.08.1984;aktor
254;Jagna;WRÓBLEWSKA;01.12.1992;aktor
255;Martyna;ADAMCZYK;01.11.1995;aktor
256;Pawe³;WITKOWSKA;01.01.1975;aktor
257;Magdalena;KRAWCZYK;01.11.1995;aktor
258;Anna;W£ODARCZYK;01.03.1994;aktor
259;Krystyna;KOWALSKA;01.07.1977;aktor
260;Ariana;PAPIERZEWSKI;01.08.1984;aktor
261;Antoni;WIECZOREK;01.03.1994;aktor
262;Nikola;WILK;01.07.1987;aktor
263;Leon;ZAWADZKA;01.09.1981;aktor
264;Agnieszka;SADOWSKA;01.07.1987;aktor
265;Franciszek;BORKOWSKA;01.03.1984;aktor
266;Irena;JASIÑSKA;01.04.1996;aktor
267;Krzysztof;MARCINIAK;01.09.1981;aktor
268;S³awomir;JANKOWSKA;01.03.1984;aktor
269;¯aneta;NOWAKOWSKA;01.01.1975;aktor
270;Szymon;PAPIERZEWSKI;01.04.1981;aktor
271;Franciszek;JAWORSKA;01.09.1991;aktor
272;Szymon;CZARNECKA;01.02.1997;aktor
273;Aneta;BORKOWSKA;01.11.1980;aktor
274;Jagna;BARAN;01.12.1997;aktor
275;Jagoda;SZEKPSIR;01.06.1975;aktor
276;Marika;SOKO£OWSKA;01.02.1982;aktor
277;Bo¿ena;KOWALCZYK;01.09.1976;aktor
278;Jozue;KUCHARSKA;01.03.1974;aktor
279;Hanna;OLSZEWSKA;01.02.1977;aktor
280;Stanis³aw;NOWAKOWSKA;01.09.1981;aktor
281;Wioleta;KRAWCZYK;01.12.1972;aktor
282;Aleksander;OLSZEWSKA;01.04.1981;aktor
283;Zbigniew;WILK;01.07.1972;aktor
284;Hanna;SZEKPSIR;01.12.1977;aktor
285;Arleta;WILK;01.03.1974;aktor
286;Jagoda;KACZMAREK;01.04.1981;aktor
287;Lucyna;KORYTKOWSKI;01.05.1973;aktor
288;Antoni;OSTROWSKA;01.06.1980;aktor
289;Franciszek;PAWLAK;01.03.1984;aktor
290;Irena;KACZMAREK;01.08.1989;aktor
291;Aleksander;TOMASZEWSKA;01.03.1989;aktor
292;Albin;B¥K;01.08.1984;aktor
293;Leon;MARCINIAK;01.12.1977;aktor
294;Leon;KORYTKOWSKI;01.02.1997;aktor
295;Julia;ZALEWSKA;01.10.1978;aktor
296;Bo¿ena;OSTROWSKA;01.06.1970;aktor
297;Magdalena;NOWAKOWSKA;01.07.1987;aktor
298;Jozue;NOWAK;01.08.1974;aktor
299;Anna;NOWAKOWSKA;01.07.1997;aktor
300;Antonina;ZALEWSKA;01.03.1994;aktor
301;Stanis³aw;PAWLAK;01.02.1987;aktor
302;Antonina;MAZUR;01.02.1987;aktor
303;Dominika;WYSOCKA;01.02.1997;aktor
304;Antoni;CHMIELEWSKA;01.08.1994;aktor
305;Wiliam;KOWALSKA;01.05.1988;aktor
306;Julian;MAZUR;01.10.1998;aktor
307;Mirella;W£ODARCZYK;01.02.1972;aktor
308;Magdalena;DUDEK;01.07.1997;aktor
309;Jagna;SADOWSKA;01.05.1983;aktor
310;Gracjan;TOMASZEWSKA;01.03.1989;aktor
311;Natan;SADOWSKA;01.12.1982;aktor
312;Katarzyna;KAMIÑSKA;01.04.1971;aktor
313;Pamela;CHMIELEWSKA;01.04.1996;aktor
314;Izabela;WILK;01.09.1976;aktor
315;Zuzanna;WITKOWSKA;01.03.1994;aktor
316;Marzena;BARAN;01.10.1978;aktor
317;Antoni;SZEKPSIR;01.06.1980;aktor
318;Antoni;DUDEK;01.04.1986;aktor
319;Zofia;KACZMAREK;01.05.1998;aktor
320;Lucyna;B¥K;01.02.1987;aktor
321;Hanna;WITKOWSKA;01.05.1998;aktor
322;Wojciech;ZAWADZKA;01.10.1988;aktor
323;Ariana;KOWALSKA;01.01.1970;aktor
324;Julia;MARCINIAK;01.05.1988;aktor
325;Zbigniew;PIOTROWSKA;01.06.1975;aktor
326;Jozue;PAWLUK;01.12.1982;aktor
327;Józef;KAMIÑSKA;01.03.1994;aktor
328;Zbigniew;SOKO£OWSKA;01.08.1984;aktor
329;Bogumi³a;JAKUBOWSKA;01.05.1983;aktor
330;Dorota;DUDEK;01.01.1970;aktor
331;Nikola;KAMIÑSKA;01.01.1985;aktor
332;Kamila;KAMIÑSKA;01.06.1975;aktor
333;Wiliam;MARCINIAK;01.06.1980;aktor
334;Józef;BARAN;01.06.1975;aktor
335;Nikola;WÓJCIK;01.10.1983;aktor
336;Adrianna;KORYTKOWSKI;01.12.1972;aktor
337;Krzysztof;SAWICKA;01.07.1992;aktor
338;Pamela;W£ODARCZYK;01.12.1972;aktor
339;Izabela;B¥K;01.03.1989;aktor
340;Julian;ZALEWSKA;01.02.1992;aktor
341;Bernadetta;M¥CZKA;01.06.1970;aktor
342;Aneta;MALINOWSKA;01.12.1982;aktor
343;Petronella;MAJEWSKA;01.01.1990;aktor
344;Wincenty;MICHALSKA;01.08.1974;aktor
345;Piotr;MAJEWSKA;01.10.1988;aktor
346;Maksymilian;KORYTKOWSKI;01.10.1973;aktor
347;Joanna;SIKORA;01.07.1972;aktor
348;Petronella;KOWALSKA;01.11.1985;aktor
349;Albin;BORKOWSKA;01.12.1982;aktor
350;¯aneta;DUDA;01.06.1980;aktor
351;Marika;DUDA;01.06.1995;aktor
352;Anna;WILK;01.05.1973;aktor
353;Natan;SOKO£OWSKA;01.11.1975;aktor
354;Zuzanna;WIECZOREK;01.05.1983;aktor
355;Jacek;OSTROWSKA;01.06.1990;aktor
356;Bo¿ena;KALINOWSKA;01.02.1992;aktor
357;Agnieszka;ZALEWSKA;01.05.1998;aktor
358;Jacek;WILK;01.01.1975;aktor
359;Julia;ZAWADZKA;01.02.1997;aktor
360;Jadwiga;KRAWCZYK;01.05.1983;aktor
361;Kamila;DUDEK;01.07.1977;aktor
362;Marzena;ZAWADZKA;01.02.1972;aktor
363;Bernadetta;KWIATKOWSKA;01.03.1994;aktor
364;Bogumi³a;RUTKOWSKA;01.02.1982;aktor
365;Dominika;JASIÑSKA;01.10.1993;aktor
366;Teresa;MAJEWSKA;01.07.1972;aktor
367;Marcin;WALCZAK;01.06.1995;aktor
368;Dorota;WIECZOREK;01.09.1986;aktor
369;Andrzej;MAZUR;01.12.1997;aktor
370;Jozue;PAWLAK;01.10.1988;aktor
371;Zbigniew;MAJEWSKA;01.02.1992;aktor
372;Helena;SAWICKA;01.06.1985;aktor
373;Maciej;SADOWSKA;01.04.1981;aktor
374;Mirella;PAWLAK;01.07.1987;aktor
375;Anna;JAWORSKA;01.10.1993;aktor
376;Dorota;MAJEWSKA;01.10.1983;aktor
377;Julian;PACZOS;01.04.1996;aktor
378;Joanna;BORKOWSKA;01.08.1989;aktor
379;Jadwiga;W£ODARCZYK;01.12.1982;aktor
380;Stanis³aw;SZEWCZYK;01.08.1994;aktor
381;Sylwia;MARCINIAK;01.05.1993;aktor
382;Julian;JAWORSKA;01.04.1986;aktor
383;Lucyna;NOWAK;01.04.1996;aktor
384;¯aneta;B¥K;01.02.1997;aktor
385;Martyna;MALINOWSKA;01.03.1984;aktor
386;Nikola;PAWLUK;01.10.1978;aktor
387;Marcin;WIECZOREK;01.06.1985;aktor
388;Maksymilian;PAWLUK;01.03.1974;aktor
389;Irena;JAWORSKA;01.01.1975;aktor
390;Wiliam;JANKOWSKA;01.04.1981;aktor
391;Aneta;RUTKOWSKA;01.01.1990;aktor
392;Teresa;MICHALSKA;01.02.1997;aktor
393;Szymon;M¥CZKA;01.11.1970;aktor
394;Helena;SZEKPSIR;01.04.1986;aktor
395;Adrianna;MAZUR;01.04.1971;aktor
396;Zofia;SAWICKA;01.12.1977;aktor
397;Wiliam;DUDEK;01.11.1980;aktor
398;Jagna;KALINOWSKA;01.07.1987;aktor
399;Julian;W£ODARCZYK;01.12.1977;aktor
400;Zbigniew;KUCHARSKA;01.04.1981;aktor
401;Joanna;M¥CZKA;01.12.1987;aktor
402;Zofia;KUCHARSKA;01.09.1981;aktor
403;Natan;NOWAK;01.07.1982;aktor
404;Albin;B¥K;01.03.1974;aktor
405;Maciej;PAWLUK;01.01.1990;aktor
406;Wincenty;MAZUR;01.06.1980;aktor
407;Martyna;NOWAK;01.01.1995;aktor
408;S³awomir;WITKOWSKA;01.03.1994;aktor
409;Wioleta;PAWLUK;01.05.1978;aktor
410;Dorota;WRÓBLEWSKA;01.05.1998;aktor
411;Szymon;ZALEWSKA;01.06.1995;aktor
412;Adrianna;BARAN;01.07.1997;aktor
413;Joanna;KOWALCZYK;01.03.1984;aktor
414;Agnieszka;B¥K;01.12.1977;aktor
415;Jagoda;BA£KA;01.09.1981;aktor
416;Stanis³aw;MAKOWSKA;01.09.1991;aktor
417;Bernadetta;OLSZEWSKA;01.11.1995;aktor
418;Jagoda;KAMIÑSKA;01.11.1995;aktor
419;Helena;PIETRZAK;01.02.1982;aktor
420;Franciszek;OSTROWSKA;01.08.1974;aktor
421;Dorota;WOJCIECHOWSKA;01.02.1987;aktor
422;Leon;DUDA;01.10.1988;aktor
423;Jozue;KOWALCZYK;01.04.1986;aktor
424;Józef;WILK;01.09.1981;aktor
425;Antoni;JANKOWSKA;01.09.1976;aktor
426;Kamila;BARAN;01.06.1975;aktor
427;Dorota;KOWALSKA;01.10.1973;aktor
428;Franciszek;KOWALSKA;01.11.1975;aktor
429;Jagna;ADAMCZYK;01.03.1979;aktor
430;Wiliam;MICHALSKA;01.06.1985;aktor
431;Lucyna;MACIEJEWSKA;01.02.1972;aktor
432;Ariana;NOWICKA;01.10.1988;aktor
433;Franciszek;KACZMAREK;01.07.1977;aktor
434;Dorota;MACIEJEWSKA;01.09.1991;aktor
435;Maksymilian;KALINOWSKA;01.07.1982;aktor
436;Dominika;DUDEK;01.11.1985;aktor
437;Antonina;WIECZOREK;01.02.1992;aktor
438;Kamila;PAPIERZEWSKI;01.12.1992;aktor
439;Agnieszka;ZAWADZKA;01.09.1971;aktor
440;Dominika;JANKOWSKA;01.07.1972;aktor
441;Martyna;WRÓBLEWSKA;01.11.1985;aktor
442;Helena;MAKOWSKA;01.04.1976;aktor
443;Aleksander;LEWANDOWSKA;01.02.1992;aktor
444;Natan;SADOWSKA;01.08.1974;aktor
445;Piotr;KOWALCZYK;01.08.1984;aktor
446;Jan;PIETRZAK;01.04.1986;aktor
447;Teresa;KRAWCZYK;01.12.1977;aktor
448;Lucyna;PAWLUK;01.07.1972;aktor
449;Jadwiga;MAKOWSKA;01.04.1976;aktor
450;Krystyna;SOKO£OWSKA;01.01.1975;aktor
451;Albin;JASIÑSKA;01.05.1988;aktor
452;Lilianna;PAWLAK;01.06.1970;aktor
453;Julian;NOWAKOWSKA;01.12.1987;aktor
454;Szymon;JAKUBOWSKA;01.05.1993;aktor
455;Adrianna;NOWAKOWSKA;01.10.1983;aktor
456;Zuzanna;M¥CZKA;01.01.1990;aktor
457;Franciszek;PAWLUK;01.08.1984;aktor
458;Izabela;WITKOWSKA;01.04.1971;aktor
459;Jan;MICHALSKA;01.08.1974;aktor
460;Pamela;JAWORSKA;01.09.1986;aktor
461;Maciej;JANKOWSKA;01.10.1993;aktor
462;Wojciech;ADAMCZYK;01.11.1975;aktor
463;Ariana;BARAN;01.01.1980;aktor
464;Teresa;RUTKOWSKA;01.09.1971;aktor
465;S³awomir;ZALEWSKA;01.11.1970;aktor
466;Marzena;MACIEJEWSKA;01.12.1987;aktor
467;Arkadiusz;KOWALSKA;01.04.1981;aktor
468;Marcin;SZCZEPAÑSKA;01.12.1987;aktor
469;Teresa;GRABOWSKA;01.09.1996;aktor
470;Lilianna;MARCINIAK;01.08.1994;aktor
471;Wiliam;SIKORA;01.09.1991;aktor
472;Magdalena;ADAMCZYK;01.05.1993;aktor
473;Petronella;SZEWCZYK;01.01.1995;aktor
474;Szymon;PAW£OWSKA;01.05.1978;aktor
475;Albin;PAWLUK;01.01.1985;aktor
476;Jozue;DUDA;01.08.1994;aktor
477;Krystyna;KOWALSKA;01.05.1998;aktor
478;Wiliam;KWIATKOWSKA;01.06.1990;aktor
479;Dorota;DUDEK;01.06.1970;aktor
480;Julian;KUBIAK;01.07.1982;aktor
481;Krzysztof;WALCZAK;01.10.1973;aktor
482;Anna;NOWAK;01.03.1994;aktor
483;Maksymilian;DUDEK;01.05.1973;aktor
484;S³awomir;MICHALAK;01.10.1988;aktor
485;Anna;KACZMAREK;01.07.1997;aktor
486;Marika;WILK;01.01.1975;aktor
487;Kamila;WRÓBLEWSKA;01.01.1985;aktor
488;Hanna;KORYTKOWSKI;01.08.1994;aktor
489;Anna;SADOWSKA;01.07.1982;aktor
490;Hanna;DUDEK;01.11.1970;aktor
491;Martyna;SOKO£OWSKA;01.03.1989;aktor
492;Jozue;KOWALCZYK;01.01.1995;aktor
493;Jagna;MARCINIAK;01.01.1985;aktor
494;Albin;PAWLAK;01.02.1977;aktor
495;Anna;KWIATKOWSKA;01.06.1985;aktor
496;S³awomir;SZEWCZYK;01.12.1992;aktor
497;Hanna;MICHALAK;01.05.1973;aktor
498;Maksymilian;NOWAKOWSKA;01.02.1982;aktor
499;Jagna;JAWORSKA;01.01.1990;aktor
