id;imie;nazwisko;dataUrodzenia;zawod
78;Maria;PAWLUK;01.12.1977;aktor
79;Jacek;CHMIELEWSKA;01.03.1974;aktor
80;Teresa;RUTKOWSKA;01.12.1982;aktor
81;Pawe³;KACZMAREK;01.04.1976;aktor
82;Marzena;ZAWADZKA;01.06.1970;aktor
83;Leon;PACZOS;01.05.1978;aktor
84;Sylwia;WYSOCKA;01.12.1992;aktor
85;Zofia;MICHALAK;01.11.1970;aktor
86;Izabela;PIETRZAK;01.11.1970;aktor
87;¯aneta;NOWAK;01.09.1976;aktor
88;Wioleta;PACZOS;01.10.1988;aktor
89;Zuzanna;SZEKPSIR;01.10.1983;aktor
90;Irena;W£ODARCZYK;01.02.1972;aktor
91;Jozue;OSTROWSKA;01.12.1997;aktor
92;Jagoda;JAKUBOWSKA;01.04.1981;aktor
93;Bo¿ena;DUDEK;01.02.1977;aktor
94;Jagna;TOMASZEWSKA;01.03.1974;aktor
95;Bernadetta;MICHALAK;01.11.1995;aktor
96;Petronella;NOWICKA;01.09.1986;aktor
97;Józef;WIECZOREK;01.12.1987;aktor
98;Krzysztof;ZAWADZKA;01.11.1980;aktor
99;Odetta;NOWICKA;01.01.1980;aktor
100;Maksymilian;NOWAKOWSKA;01.11.1970;aktor
101;Hanna;RUTKOWSKA;01.11.1990;aktor
102;Wojciech;WRÓBLEWSKA;01.09.1991;aktor
103;Jacek;TOMASZEWSKA;01.12.1977;aktor
104;Józef;WIECZOREK;01.12.1987;aktor
105;Hanna;ZAWADZKA;01.08.1989;aktor
106;Wojciech;NOWAK;01.07.1982;aktor
107;Marcjanna;KACZMAREK;01.05.1988;aktor
108;Maciej;DUDEK;01.03.1984;aktor
109;Zbigniew;NOWAKOWSKA;01.11.1985;aktor
110;Antonina;KOWALCZYK;01.02.1997;aktor
111;Julia;PAWLUK;01.03.1994;aktor
112;Marcjanna;KWIATKOWSKA;01.02.1997;aktor
113;Aleksander;JASIÑSKA;01.08.1984;aktor
114;Maksymilian;KOWALCZYK;01.07.1982;aktor
115;Lilianna;PAPIERZEWSKI;01.02.1972;aktor
116;Teresa;PACZOS;01.11.1995;aktor
117;Anna;PAWLUK;01.08.1979;aktor
118;¯aneta;DUDEK;01.07.1992;aktor
119;Aneta;WYSOCKA;01.09.1976;aktor
120;Bo¿ena;NOWAKOWSKA;01.09.1971;aktor
121;Wiliam;DUDEK;01.10.1983;aktor
122;Lilianna;CHMIELEWSKA;01.02.1987;aktor
123;Jagna;WALCZAK;01.09.1976;aktor
124;Aleksander;MAZUR;01.06.1980;aktor
125;Dominika;PIOTROWSKA;01.05.1988;aktor
126;Izabela;PAWLUK;01.02.1982;aktor
127;Maksymilian;SIKORA;01.02.1997;aktor
128;Katarzyna;WALCZAK;01.11.1990;aktor
129;Joanna;KWIATKOWSKA;01.06.1975;aktor
130;Jozue;DUDEK;01.10.1978;aktor
131;S³awomir;PIOTROWSKA;01.11.1970;aktor
132;Arkadiusz;OSTROWSKA;01.01.1990;aktor
133;Zbigniew;PIETRZAK;01.03.1984;aktor
134;Andrzej;NOWICKA;01.09.1981;aktor
135;Irena;OSTROWSKA;01.12.1972;aktor
136;Jacek;NOWAK;01.07.1982;aktor
137;S³awomir;ZAWADZKA;01.10.1978;aktor
138;Dominika;WIECZOREK;01.07.1992;aktor
139;Aneta;JANKOWSKA;01.10.1978;aktor
140;Jagoda;WOJCIECHOWSKA;01.08.1989;aktor
141;Pawe³;WYSOCKA;01.04.1971;aktor
142;Dominika;SOKO£OWSKA;01.08.1974;aktor
143;Bernadetta;ADAMCZYK;01.04.1981;aktor
144;Dominika;KOWALCZYK;01.12.1992;aktor
145;Zuzanna;ZAWADZKA;01.06.1995;aktor
146;Zbigniew;SIKORA;01.05.1983;aktor
147;Katarzyna;MAKOWSKA;01.03.1974;aktor
148;Adrianna;LIS;01.08.1989;aktor
149;Wiliam;PIETRZAK;01.01.1995;aktor
150;Stanis³aw;SADOWSKA;01.05.1973;aktor
151;Jacek;PIETRZAK;01.08.1984;aktor
152;Odetta;DUDA;01.04.1981;aktor
153;Dominika;KALINOWSKA;01.07.1997;aktor
154;Maria;SZCZEPAÑSKA;01.02.1977;aktor
155;Zofia;B¥K;01.06.1970;aktor
156;Szymon;SAWICKA;01.08.1984;aktor
157;Sylwia;KOWALCZYK;01.09.1986;aktor
158;Anna;WYSOCKA;01.05.1978;aktor
159;Dominika;KALINOWSKA;01.02.1972;aktor
160;Bernadetta;JAWORSKA;01.09.1991;aktor
161;Szymon;SOKO£OWSKA;01.12.1992;aktor
162;Irena;MARCINIAK;01.10.1988;aktor
163;Arkadiusz;NOWAKOWSKA;01.04.1986;aktor
164;Julian;MAKOWSKA;01.08.1989;aktor
165;Wojciech;BARAN;01.05.1988;aktor
166;Adrianna;OSTROWSKA;01.07.1987;aktor
167;Gracjan;KRAWCZYK;01.12.1972;aktor
168;Dominika;PIETRZAK;01.07.1982;aktor
169;Jagoda;KALINOWSKA;01.02.1997;aktor
170;Andrzej;WYSOCKA;01.04.1996;aktor
171;Jozue;BORKOWSKA;01.06.1975;aktor
172;Adrianna;KOWALSKA;01.11.1995;aktor
173;Sylwia;RUTKOWSKA;01.12.1997;aktor
174;Leon;ADAMCZYK;01.11.1975;aktor
175;Stanis³aw;MAKOWSKA;01.10.1983;aktor
176;Aleksander;DUDEK;01.12.1977;aktor
177;Wojciech;MICHALSKA;01.10.1983;aktor
178;Adrianna;WOJCIECHOWSKA;01.11.1990;aktor
179;Krystyna;SZCZEPAÑSKA;01.05.1973;aktor
180;Hanna;NOWAK;01.01.1995;aktor
181;Anna;SOKO£OWSKA;01.10.1998;aktor
182;Piotr;MAJEWSKA;01.02.1987;aktor
183;Krystyna;PAWLUK;01.06.1970;aktor
184;Jan;MARCINIAK;01.03.1989;aktor
185;Mirella;MAKOWSKA;01.12.1972;aktor
186;Zuzanna;DUDA;01.10.1983;aktor
187;Maria;ADAMCZYK;01.05.1988;aktor
188;Lilianna;B¥K;01.04.1981;aktor
189;Martyna;LIS;01.02.1982;aktor
190;Maciej;WRÓBLEWSKA;01.03.1979;aktor
191;Józef;M¥CZKA;01.04.1996;aktor
192;Maciej;JAWORSKA;01.07.1997;aktor
193;Pawe³;MARCINIAK;01.12.1997;aktor
194;Marcjanna;PIOTROWSKA;01.05.1998;aktor
195;Jagna;KACZMAREK;01.11.1980;aktor
196;Szymon;MARCINIAK;01.04.1996;aktor
197;Adrianna;MAZUR;01.05.1988;aktor
198;Bernadetta;PAWLAK;01.02.1987;aktor
199;Jozue;PAPIERZEWSKI;01.02.1987;aktor
200;Pawe³;SAWICKA;01.05.1978;aktor
201;Marcin;SZEKPSIR;01.04.1981;aktor
202;S³awomir;KALINOWSKA;01.04.1991;aktor
203;Jagoda;WIECZOREK;01.10.1988;aktor
204;Maksymilian;KAMIÑSKA;01.08.1974;aktor
205;Teresa;M¥CZKA;01.01.1995;aktor
206;Zuzanna;ADAMCZYK;01.01.1970;aktor
207;Wiliam;WILK;01.12.1972;aktor
208;Dorota;MALINOWSKA;01.01.1980;aktor
209;Krystyna;OLSZEWSKA;01.03.1989;aktor
210;Maksymilian;KOWALSKA;01.12.1992;aktor
211;Martyna;BA£KA;01.09.1981;aktor
212;Mirella;MAKOWSKA;01.04.1986;aktor
213;Józef;JANKOWSKA;01.12.1977;aktor
214;Maciej;PIOTROWSKA;01.07.1972;aktor
215;Bo¿ena;MICHALAK;01.12.1987;aktor
216;Maksymilian;JASIÑSKA;01.11.1975;aktor
217;Adrianna;BARAN;01.04.1971;aktor
218;Arkadiusz;NOWICKA;01.04.1996;aktor
219;Leon;CHMIELEWSKA;01.03.1984;aktor
220;Adrianna;MARCINIAK;01.04.1971;aktor
221;Julia;KOWALCZYK;01.04.1986;aktor
222;Antonina;ZALEWSKA;01.12.1992;aktor
223;Marcjanna;JANKOWSKA;01.09.1976;aktor
224;Lilianna;LEWANDOWSKA;01.11.1990;aktor
225;Natan;MICHALAK;01.03.1984;aktor
226;Joanna;NOWAK;01.03.1979;aktor
227;Magdalena;OLSZEWSKA;01.11.1990;aktor
228;Jacek;SOKO£OWSKA;01.01.1990;aktor
229;Albin;DUDEK;01.08.1994;aktor
230;Piotr;M¥CZKA;01.05.1988;aktor
231;Jadwiga;LIS;01.08.1989;aktor
232;Andrzej;BA£KA;01.06.1985;aktor
233;Franciszek;CHMIELEWSKA;01.09.1996;aktor
234;Wioleta;DUDA;01.09.1996;aktor
235;Irena;SZEKPSIR;01.01.1985;aktor
236;Krzysztof;KUCHARSKA;01.02.1992;aktor
237;¯aneta;KALINOWSKA;01.08.1979;aktor
238;Petronella;SZEWCZYK;01.02.1992;aktor
239;Martyna;LIS;01.02.1982;aktor
240;Lucyna;WRÓBLEWSKA;01.06.1985;aktor
241;Aneta;ZALEWSKA;01.10.1983;aktor
242;Joanna;JAWORSKA;01.01.1985;aktor
243;Bo¿ena;SADOWSKA;01.04.1991;aktor
244;Aneta;SZCZEPAÑSKA;01.12.1982;aktor
245;Sylwia;CZARNECKA;01.07.1992;aktor
246;Maria;ZAWADZKA;01.05.1983;aktor
247;Krystyna;MARCINIAK;01.06.1970;aktor
248;Marcjanna;KORYTKOWSKI;01.09.1996;aktor
249;Krzysztof;DUDA;01.07.1972;aktor
250;Petronella;MAJEWSKA;01.03.1979;aktor
251;Arleta;SZEKPSIR;01.10.1983;aktor
252;Nikola;ZALEWSKA;01.01.1980;aktor
253;Kamila;LIS;01.07.1997;aktor
254;Albin;SZCZEPAÑSKA;01.10.1978;aktor
255;Kamila;JAKUBOWSKA;01.09.1986;aktor
256;Józef;NOWAK;01.06.1995;aktor
257;Maksymilian;PAW£OWSKA;01.10.1973;aktor
258;Gracjan;KORYTKOWSKI;01.02.1987;aktor
259;Aleksander;CZARNECKA;01.01.1975;aktor
260;Adrianna;SZEWCZYK;01.08.1974;aktor
261;Wincenty;MAZUR;01.09.1976;aktor
262;Zbigniew;ZALEWSKA;01.10.1998;aktor
263;¯aneta;CHMIELEWSKA;01.01.1985;aktor
264;Wioleta;WITKOWSKA;01.12.1987;aktor
265;Maksymilian;WILK;01.06.1970;aktor
266;Nikola;NOWAK;01.01.1980;aktor
267;Hanna;KORYTKOWSKI;01.01.1990;aktor
268;Wojciech;MAJEWSKA;01.07.1987;aktor
269;Piotr;KWIATKOWSKA;01.04.1996;aktor
270;Andrzej;WALCZAK;01.07.1977;aktor
271;Natan;KALINOWSKA;01.07.1977;aktor
272;Lucyna;KORYTKOWSKI;01.07.1997;aktor
273;Lilianna;DUDEK;01.06.1995;aktor
274;Jadwiga;JAWORSKA;01.10.1978;aktor
275;Nikola;MICHALSKA;01.06.1990;aktor
276;Jacek;KRAWCZYK;01.07.1992;aktor
277;Julia;JANKOWSKA;01.05.1978;aktor
278;Sylwia;PIETRZAK;01.02.1982;aktor
279;Magdalena;MAKOWSKA;01.06.1990;aktor
280;Jadwiga;LEWANDOWSKA;01.10.1978;aktor
281;Petronella;KRAWCZYK;01.11.1985;aktor
282;Marcin;WILK;01.07.1987;aktor
283;Jan;KUBIAK;01.07.1987;aktor
284;Piotr;JASIÑSKA;01.04.1976;aktor
285;Maciej;DUDA;01.07.1992;aktor
286;Zofia;OLSZEWSKA;01.03.1989;aktor
287;Piotr;W£ODARCZYK;01.07.1982;aktor
288;Jan;JANKOWSKA;01.01.1975;aktor
289;Marcin;PAPIERZEWSKI;01.04.1986;aktor
290;Jozue;WRÓBLEWSKA;01.04.1991;aktor
291;Bogumi³a;KUCHARSKA;01.05.1983;aktor
292;Józef;ZALEWSKA;01.10.1978;aktor
293;Petronella;PAPIERZEWSKI;01.05.1978;aktor
294;Jagoda;BA£KA;01.08.1994;aktor
295;Zofia;BARAN;01.03.1984;aktor
296;Marika;BARAN;01.09.1976;aktor
297;Antonina;BARAN;01.05.1978;aktor
298;Bo¿ena;LIS;01.05.1993;aktor
299;Pamela;ADAMCZYK;01.10.1983;aktor
300;Arleta;OSTROWSKA;01.06.1975;aktor
301;Arkadiusz;SADOWSKA;01.08.1979;aktor
302;Nikola;W£ODARCZYK;01.04.1971;aktor
303;Hanna;M¥CZKA;01.09.1976;aktor
304;Lilianna;PIOTROWSKA;01.04.1981;aktor
305;Dominika;KORYTKOWSKI;01.09.1971;aktor
306;Maria;WIECZOREK;01.06.1995;aktor
307;Jacek;LEWANDOWSKA;01.09.1976;aktor
308;Wojciech;TOMASZEWSKA;01.05.1993;aktor
309;Bo¿ena;PIOTROWSKA;01.01.1970;aktor
310;Krzysztof;WALCZAK;01.02.1997;aktor
311;Jan;SZEWCZYK;01.05.1983;aktor
312;Joanna;WÓJCIK;01.02.1982;aktor
313;Dorota;PAWLUK;01.09.1976;aktor
314;Wiliam;KORYTKOWSKI;01.10.1978;aktor
315;Martyna;MALINOWSKA;01.11.1975;aktor
316;Maksymilian;KOWALCZYK;01.04.1981;aktor
317;Jozue;KUCHARSKA;01.04.1986;aktor
318;Krzysztof;TOMASZEWSKA;01.12.1977;aktor
319;Aneta;BARAN;01.11.1995;aktor
320;Wioleta;BORKOWSKA;01.03.1984;aktor
321;Aneta;SZEKPSIR;01.04.1986;aktor
322;Krystyna;KOWALSKA;01.10.1983;aktor
323;Magdalena;MICHALAK;01.04.1996;aktor
324;Irena;MACIEJEWSKA;01.10.1993;aktor
325;Wiliam;JAWORSKA;01.02.1982;aktor
326;Bernadetta;PAW£OWSKA;01.01.1990;aktor
327;Jacek;JANKOWSKA;01.06.1995;aktor
328;Julian;CZARNECKA;01.02.1977;aktor
329;Antonina;SZEKPSIR;01.11.1975;aktor
330;Marika;PAW£OWSKA;01.08.1979;aktor
331;Aneta;SZEWCZYK;01.08.1974;aktor
332;Zuzanna;JANKOWSKA;01.05.1978;aktor
333;Jagoda;PACZOS;01.10.1978;aktor
334;Dorota;KOWALSKA;01.06.1970;aktor
335;Marzena;KORYTKOWSKI;01.07.1972;aktor
336;Aleksander;NOWAK;01.05.1983;aktor
337;Piotr;WÓJCIK;01.04.1971;aktor
338;Wiliam;SZEWCZYK;01.09.1971;aktor
339;Jadwiga;PACZOS;01.07.1987;aktor
340;Jagoda;KORYTKOWSKI;01.01.1985;aktor
341;Martyna;WIECZOREK;01.06.1990;aktor
342;Jadwiga;WÓJCIK;01.06.1985;aktor
343;Pawe³;PIOTROWSKA;01.09.1991;aktor
344;Julian;ADAMCZYK;01.04.1996;aktor
345;Joanna;LEWANDOWSKA;01.02.1977;aktor
346;Aneta;NOWAKOWSKA;01.11.1995;aktor
347;Bo¿ena;JAWORSKA;01.05.1978;aktor
348;Wincenty;OLSZEWSKA;01.11.1985;aktor
349;Lucyna;MALINOWSKA;01.11.1985;aktor
350;Adrianna;SOKO£OWSKA;01.03.1974;aktor
351;Adrianna;MAKOWSKA;01.04.1996;aktor
352;Katarzyna;DUDA;01.06.1975;aktor
353;Maciej;MALINOWSKA;01.09.1971;aktor
354;Helena;KACZMAREK;01.07.1997;aktor
355;Lilianna;SAWICKA;01.08.1974;aktor
356;Marcin;DUDEK;01.03.1994;aktor
357;Sylwia;MICHALSKA;01.07.1977;aktor
358;Zuzanna;TOMASZEWSKA;01.11.1980;aktor
359;Odetta;SZCZEPAÑSKA;01.04.1981;aktor
360;Hanna;SZCZEPAÑSKA;01.12.1972;aktor
361;Natan;PIETRZAK;01.03.1994;aktor
362;Franciszek;BA£KA;01.07.1987;aktor
363;Agnieszka;WALCZAK;01.01.1985;aktor
364;Magdalena;SOKO£OWSKA;01.11.1990;aktor
365;Nikola;MARCINIAK;01.12.1992;aktor
366;Jozue;MAZUR;01.09.1971;aktor
367;Pawe³;WRÓBLEWSKA;01.06.1975;aktor
368;Kamila;WOJCIECHOWSKA;01.02.1992;aktor
369;Jozue;KACZMAREK;01.12.1997;aktor
370;Hanna;DUDEK;01.10.1983;aktor
371;Maria;MACIEJEWSKA;01.09.1971;aktor
372;Lilianna;WÓJCIK;01.02.1972;aktor
373;Helena;KAMIÑSKA;01.10.1978;aktor
374;Maksymilian;CZARNECKA;01.07.1987;aktor
375;Maria;KRAWCZYK;01.10.1978;aktor
376;Lucyna;TOMASZEWSKA;01.10.1983;aktor
377;Petronella;KALINOWSKA;01.12.1977;aktor
378;Pawe³;MICHALAK;01.01.1990;aktor
379;Arleta;PAWLUK;01.05.1993;aktor
380;Zbigniew;KORYTKOWSKI;01.10.1983;aktor
381;Adrianna;SADOWSKA;01.02.1992;aktor
382;Odetta;BA£KA;01.02.1972;aktor
383;Jacek;DUDA;01.06.1970;aktor
384;Zuzanna;MAZUR;01.09.1996;aktor
385;Pawe³;WRÓBLEWSKA;01.02.1982;aktor
386;Julia;SOKO£OWSKA;01.02.1977;aktor
387;Stanis³aw;KUBIAK;01.02.1982;aktor
388;¯aneta;WOJCIECHOWSKA;01.12.1972;aktor
389;Adrianna;JASIÑSKA;01.04.1976;aktor
390;Leon;MICHALSKA;01.07.1997;aktor
391;Franciszek;PACZOS;01.12.1972;aktor
392;Maksymilian;KOWALCZYK;01.05.1993;aktor
393;Katarzyna;MAJEWSKA;01.03.1994;aktor
394;Aneta;NOWAKOWSKA;01.01.1985;aktor
395;Marcjanna;MAJEWSKA;01.07.1997;aktor
396;Leon;PAWLUK;01.09.1981;aktor
397;Petronella;SIKORA;01.09.1976;aktor
398;Lucyna;MAKOWSKA;01.03.1984;aktor
399;Antoni;WITKOWSKA;01.06.1970;aktor
400;Julia;MAZUR;01.09.1986;aktor
401;Andrzej;JAKUBOWSKA;01.12.1982;aktor
402;Marzena;WITKOWSKA;01.09.1981;aktor
403;Mirella;PIOTROWSKA;01.02.1982;aktor
404;Krystyna;BORKOWSKA;01.08.1984;aktor
405;Lucyna;WRÓBLEWSKA;01.05.1988;aktor
406;Ariana;M¥CZKA;01.02.1972;aktor
407;Andrzej;CHMIELEWSKA;01.09.1971;aktor
408;Lucyna;WITKOWSKA;01.05.1998;aktor
409;Zbigniew;PAWLAK;01.06.1985;aktor
410;Maksymilian;MICHALAK;01.06.1995;aktor
411;Leon;CHMIELEWSKA;01.08.1984;aktor
412;Jozue;TOMASZEWSKA;01.12.1972;aktor
413;Agnieszka;RUTKOWSKA;01.09.1971;aktor
414;Agnieszka;MAKOWSKA;01.08.1979;aktor
415;Julia;DUDA;01.04.1991;aktor
416;Nikola;WIECZOREK;01.11.1985;aktor
417;Petronella;WÓJCIK;01.06.1990;aktor
418;Anna;SOKO£OWSKA;01.11.1990;aktor
419;Jozue;SAWICKA;01.02.1977;aktor
420;Antoni;NOWAKOWSKA;01.11.1990;aktor
421;Piotr;JANKOWSKA;01.11.1995;aktor
422;Wiliam;KAMIÑSKA;01.05.1978;aktor
423;Leon;PIOTROWSKA;01.05.1973;aktor
424;Albin;CZARNECKA;01.07.1982;aktor
425;Aleksander;MARCINIAK;01.11.1990;aktor
426;Anna;PAWLUK;01.11.1985;aktor
427;¯aneta;PAWLUK;01.01.1995;aktor
428;Maciej;SADOWSKA;01.05.1973;aktor
429;Szymon;JANKOWSKA;01.08.1994;aktor
430;Antoni;MAKOWSKA;01.12.1997;aktor
431;Helena;BARAN;01.10.1983;aktor
432;Agnieszka;PAPIERZEWSKI;01.11.1980;aktor
433;Pamela;WYSOCKA;01.11.1980;aktor
434;Marcjanna;WÓJCIK;01.01.1980;aktor
435;Wincenty;ZALEWSKA;01.12.1997;aktor
436;Julia;MALINOWSKA;01.02.1997;aktor
437;Pawe³;SZEKPSIR;01.07.1977;aktor
438;Aleksander;JANKOWSKA;01.09.1976;aktor
439;Natan;W£ODARCZYK;01.08.1979;aktor
440;Piotr;KUBIAK;01.10.1973;aktor
441;Jan;MICHALAK;01.01.1970;aktor
442;Helena;SZEKPSIR;01.03.1979;aktor
443;Marzena;BORKOWSKA;01.11.1980;aktor
444;Lilianna;PACZOS;01.11.1970;aktor
445;Agnieszka;NOWAK;01.08.1994;aktor
446;Szymon;LIS;01.01.1980;aktor
447;Natan;ADAMCZYK;01.08.1979;aktor
448;Adrianna;SAWICKA;01.03.1994;aktor
449;Natan;RUTKOWSKA;01.10.1983;aktor
450;Zuzanna;NOWAK;01.03.1979;aktor
451;Jacek;PAW£OWSKA;01.11.1975;aktor
452;Hanna;KOWALCZYK;01.12.1992;aktor
453;Jacek;KRAWCZYK;01.12.1992;aktor
454;Marika;B¥K;01.02.1977;aktor
455;Aneta;WITKOWSKA;01.06.1990;aktor
456;Krzysztof;DUDA;01.01.1980;aktor
457;Wiliam;W£ODARCZYK;01.01.1985;aktor
458;¯aneta;WYSOCKA;01.10.1998;aktor
459;S³awomir;PAWLUK;01.02.1997;aktor
460;Albin;DUDEK;01.07.1972;aktor
461;Nikola;BA£KA;01.05.1988;aktor
462;S³awomir;B¥K;01.09.1976;aktor
463;Jozue;MACIEJEWSKA;01.02.1972;aktor
464;Marcin;WYSOCKA;01.02.1982;aktor
465;Helena;WITKOWSKA;01.02.1972;aktor
466;Wioleta;MACIEJEWSKA;01.12.1982;aktor
467;Wioleta;CHMIELEWSKA;01.04.1976;aktor
468;Lilianna;ADAMCZYK;01.08.1984;aktor
469;Aneta;RUTKOWSKA;01.12.1997;aktor
470;Piotr;DUDEK;01.07.1987;aktor
471;Jagoda;NOWAKOWSKA;01.08.1979;aktor
472;Marcjanna;KACZMAREK;01.07.1992;aktor
473;Wioleta;DUDA;01.04.1996;aktor
474;Krystyna;BARAN;01.01.1990;aktor
475;Izabela;BARAN;01.06.1985;aktor
476;Antonina;JAKUBOWSKA;01.04.1981;aktor
477;Jagna;JASIÑSKA;01.02.1982;aktor
478;Katarzyna;KOWALCZYK;01.12.1987;aktor
479;Krzysztof;KOWALSKA;01.01.1975;aktor
480;Bo¿ena;NOWICKA;01.04.1971;aktor
481;Wioleta;PAWLUK;01.12.1987;aktor
482;S³awomir;MAZUR;01.11.1975;aktor
483;Marcjanna;CZARNECKA;01.06.1980;aktor
484;Jan;SAWICKA;01.02.1972;aktor
485;Hanna;PAW£OWSKA;01.12.1987;aktor
486;Hanna;ADAMCZYK;01.03.1979;aktor
487;Gracjan;MAJEWSKA;01.02.1987;aktor
488;Martyna;B¥K;01.02.1992;aktor
489;Natan;KALINOWSKA;01.07.1972;aktor
490;Bogumi³a;SZCZEPAÑSKA;01.06.1990;aktor
491;Odetta;NOWAK;01.06.1985;aktor
492;Marcjanna;WITKOWSKA;01.06.1975;aktor
493;Zbigniew;WITKOWSKA;01.05.1998;aktor
494;Pamela;KUCHARSKA;01.03.1974;aktor
495;Wioleta;MAZUR;01.10.1993;aktor
496;Dorota;CZARNECKA;01.02.1992;aktor
497;Piotr;KORYTKOWSKI;01.04.1971;aktor
498;Wincenty;SZCZEPAÑSKA;01.03.1984;aktor
499;Maksymilian;DUDEK;01.11.1990;aktor
